,id,sim1,sim2,sim3,sim4
230,3980858,22183984,20715202,35409920,36216542
231,3981252,28369982,11441534,16710831,11554822
232,3987557,38830049,38830388,38830507,38166842
233,3987930,16412994,16412115,16411298,19251396
234,3988536,4022486,3859180,4041554,6034863
235,3990431,3802621,3980202,18679631,24785613
236,3990847,3991040,18607018,22021287,17780164
237,3991040,3990847,18607018,16499872,22021287
238,3995441,3863231,6685809,3617090,4022486
239,4007891,16429519,36620611,12455215,16947051
240,4008423,16947051,16428014,2387730,2387687
241,4017084,30261649,17112396,26011461,26010706
242,4021128,14325761,22555089,29833656,4309836
243,4022486,3859180,4041554,3988536,6034863
244,4026199,23672746,4450681,8432015,1210268
245,4027867,4505008,23223200,36080117,5117966
246,4041554,6034863,4022486,3859180,19810810
247,4054698,4069756,13274598,13274269,3717196
248,4069756,13274598,3717196,4054698,13274269
249,4070970,9030732,9337650,23436763,19367655
250,4091059,28540141,32922175,16148344,25787949
251,4108082,30579935,22299308,21631361,6723509
252,4108447,23718072,28230186,34613934,5101196
253,4115899,3598371,37957891,15379742,13872285
254,4122361,17765940,20398796,28067163,30047798
255,4124908,11025823,11283839,26768425,11283772
256,4138944,24070730,25748458,36747812,23673101
257,4139205,10225514,20798153,15532514,15532644
258,4139964,17779550,9466660,20426368,20628822
259,4144956,9480031,30047825,20401839,17083178
260,4179725,3874257,16620686,6962492,19626434
261,4191852,4191900,17302758,17778761,17951810
262,4191900,4191852,17778761,17302758,17951810
263,4193615,38865891,14030430,21015818,16914032
264,4252548,3863231,19642785,19810810,4041554
265,4252667,16499872,15173797,28185514,15156744
266,4271250,28601616,32908869,31482952,10916250
267,4309836,4926192,34635836,24358325,12924827
268,4318386,18679631,12598602,12841880,5428995
269,4351937,34844867,32319545,29500892,28728124
270,4360679,4360902,8313460,5117966,4545820
271,4360811,24962718,30261649,36080117,26010706
272,4360902,4545820,5117966,8313460,4656221
273,4372830,22090931,29469904,28376148,21804196
274,4380000,21755679,22361966,1766900,24170288
275,4399550,33809204,14196212,32321197,33947280
276,4412603,1199033,38836039,6242964,4586160
277,4430984,34530939,11721758,5543423,18086207
278,4431879,26768425,25202450,14775190,8560786
279,4434265,3671451,4041554,6034863,6605136
280,4441346,34582881,33836101,38004162,38003853
281,4446102,3954113,4478773,4360811,24962718
282,4450681,26405063,1210268,8432015,27342137
283,4451325,34582881,17399550,33814617,35388422
284,4457077,15139438,8097455,18978737,24294559
285,4478773,4446102,3954113,4360811,24962718
286,4486217,19004563,24211284,34981099,30134109
287,4499317,8038199,31129953,18906439,23279931
288,4505008,4505008,23223200,36080117,5117966
289,4521061,9976083,9398808,32748770,27409849
290,4526703,29745033,32922416,11898518,5787221
291,4526966,15001987,15773382,18582303,24833918
292,4527878,3140972,16607454,6605136,4041554
293,4530362,26959283,26935086,26960806,6340570
294,4541072,16008908,14293554,17881638,23548551
295,4541183,4973227,23315012,17927897,24782472
296,4545820,8313460,5117966,4656221,36920538
297,4561463,4996744,24682695,16750061,16848828
298,4561484,3258894,3144267,4041554,6034863
299,4569941,12906176,28966874,21037930,21668890
300,4576362,35008965,4616537,4616523,6099703
301,4583694,25300648,10480544,918880,30261649
302,4584539,27004656,8851732,20547412,12600629
303,4586160,6242964,38836039,15721063,4412603
304,4600559,11057737,19518380,6918746,13642646
305,4608708,3405389,1715479,9000149,21031360
306,4613432,13574617,13936031,7381770,5024661
307,4616523,6099703,4576362,35008965,4616537
308,4616537,4576362,35008965,4616523,6099703
309,4628393,31947200,15651261,35077531,26011461
310,4640273,34004897,33234851,34689196,34004893
311,4645834,5253639,4656316,8313733,4360811
312,4656221,8313460,5117966,4990392,4990462
313,4656316,5253639,4645834,5118006,4990462
314,4659067,4660363,26397897,31604574,31604623
315,4660363,26397897,4659067,31604574,31604623
316,4664392,3207194,34874957,6850935,6023517
317,4683314,27342137,1210268,8432015,4450681
318,4702699,29745033,32922416,4586160,27004656
319,4712676,19091188,6203213,733863,38242543
320,4721463,16005135,10075591,35030220,9202827
321,4722005,14157765,12200704,21419965,19612814
322,4754788,11747097,27374647,7332608,36860685
323,4761064,9079507,20112645,24003066,24000970
324,4768668,16231818,16231715,16231627,16231741
325,4771752,3075620,22560212,22561162,11642282
326,4802295,1599599,4828432,11865064,19516846
327,4817784,4818191,4818187,6698970,28709418
328,4818187,4818191,4817784,6698970,23861900
329,4818191,4818187,4817784,23861900,35072431
330,4828432,4802295,11865064,1599599,19516846
331,4833408,35773302,35773380,29320287,29319213
332,4841308,15295359,22760803,34949534,38080105
333,4863317,14953906,27174440,16209070,14676512
334,4869221,34271538,32035890,24636266,31129905
335,4899063,1813277,25949294,20753232,30180540
336,4916186,9118960,8180676,7662314,35647924
337,4926023,18830269,20397202,1656833,14078478
338,4926170,28115820,28116308,28114931,13165990
339,4926192,4309836,24358325,37684778,13377049
340,4926634,6485145,6888824,33843113,4584539
341,4933616,8654673,34288604,34235543,8625349
342,4934283,16636319,16607091,15822581,15875928
343,4969777,5714743,30129230,13574617,13936031
344,4973227,4541183,23315012,18202395,17927897
345,4979889,23673101,25748458,24070730,36747812
346,4990392,5117966,8313460,4656221,4545820
347,4990462,5118006,4656221,5117966,8313460
348,4996744,7614627,5609097,8259582,22225768
349,5006143,22723316,31218304,38244327,26033895
350,5018128,11399335,29873098,18080682,29093864
351,5018606,14191894,5493930,5494971,12211385
352,5024661,7381770,13936031,13574617,4613432
353,5036145,9464059,37989109,21358634,38882577
354,5040689,12178884,20920927,10351527,16546964
355,5042231,5272598,16773876,6440242,5750637
356,5050823,7735999,11515630,11765634,29973454
357,5052014,5233415,5448209,5446857,33349733
358,5079606,6824319,10288989,16811553,5018128
359,5082033,7791384,24962718,16896151,12525278
360,5095636,36082768,28261567,24706274,15045224
361,5101196,38860007,21440939,20509769,36153168
362,5111893,6055601,14142246,2113778,33619991
363,5116961,4521061,9976083,9398808,37822043
364,5117966,5117966,4656221,4990392,4545820
365,5118006,4990462,8313460,5117966,4545820
366,5118306,36714781,38299341,15721063,9986864
367,5128182,29525933,33981233,34071127,38735388
368,5129422,2696834,5276634,5186159,5186205
369,5177256,5184871,5214226,12787541,18617838
370,5184871,5177256,5214226,32825926,2387730
371,5185612,7570596,26093121,33349733,33349552
372,5186159,5186205,5186243,5276634,2696834
373,5186205,5186159,5186243,5276634,2696834
374,5186243,5186159,5186205,5276634,2696834
375,5195270,27993739,27470104,21906973,7229906
376,5214091,14099732,23999281,24000221,34582881
377,5214226,5184871,5177256,14675722,12941049
378,5233415,5052014,5448209,5446857,33349733
379,5241732,28261567,15045224,25783297,7628503
